,Date,Low,High,Close,Open,Volume,Adj Close
810,2014-10-21,77.15,78.74,78.69,77.56,32252403.0,78.69
809,2013-02-12,27.1,28.16,27.37,27.67,93498700.0,27.37
808,2016-03-11,107.92,109.42,109.41,108.48,20697553.0,109.41
807,2017-08-03,168.25,169.7,168.59,169.3,10316246.0,168.59
806,2012-06-08,26.44,27.76,27.1,26.55,38034000.0,27.1
805,2016-08-02,122.07,124.8,123.09,124.06,23968414.0,123.09
804,2016-12-12,117.65,119.24,117.77,119.22,17805527.0,117.77
803,2016-10-17,127.32,128.47,127.54,128.2,11351681.0,127.54
802,2018-03-23,159.02,167.1,159.39,165.44,52306891.0,159.39
801,2017-12-27,176.26,178.44,177.62,176.55,9296258.0,177.62
800,2017-08-08,170.62,173.05,171.23,171.88,13813683.0,171.23
799,2015-09-28,88.18,92.29,89.21,92.08,40914897.0,89.21
798,2017-06-14,149.05,152.4,150.25,151.26,20552981.0,150.25
797,2015-07-28,93.31,95.56,95.29,94.84,35235993.0,95.29
796,2017-02-10,133.68,134.94,134.19,134.1,15061939.0,134.19
795,2012-08-27,19.1,19.53,19.15,19.49,20704000.0,19.15
794,2012-10-05,20.88,21.63,20.91,21.49,40529300.0,20.91
793,2014-03-07,69.47,71.18,69.8,71.08,38927000.0,69.8
792,2017-02-07,131.66,133.0,131.84,132.24,14596449.0,131.84
791,2018-06-05,192.62,195.0,192.94,194.3,15544294.0,192.94
790,2013-07-03,24.15,24.71,24.52,24.22,10404400.0,24.52
789,2014-06-13,63.83,64.97,64.5,64.7,29383800.0,64.5
788,2016-08-15,123.7,124.92,123.9,124.91,19295130.0,123.9
787,2014-02-07,62.22,64.57,64.32,62.27,60704300.0,64.32
786,2015-02-18,75.45,76.9,76.71,75.94,22426421.0,76.71
785,2014-12-18,76.51,78.4,78.4,76.89,34222081.0,78.4
784,2016-06-22,113.61,114.74,113.91,114.65,14846329.0,113.91
783,2017-05-15,149.77,151.48,150.19,150.17,14909882.0,150.19
782,2015-05-27,79.43,80.66,80.55,79.6,14160865.0,80.55
781,2013-08-08,38.43,39.19,38.54,39.13,41301000.0,38.54
780,2018-01-26,186.81,190.0,190.0,187.75,16652197.0,190.0
779,2014-04-30,57.16,59.85,59.78,57.58,76093000.0,59.78
778,2016-09-30,127.45,128.59,128.27,128.03,18402945.0,128.27
