,Date,Low,High,Close,Open,Volume,Adj Close
808,2017-10-13,353.68,358.49,355.57,356.98,3528413.0,355.57
807,2018-01-10,330.0,337.0,334.8,332.2,4236168.0,334.8
806,2017-11-16,311.3,318.14,312.5,313.99,5793324.0,312.5
805,2015-10-06,235.58,243.03,241.46,240.0,5235897.0,241.46
804,2015-06-12,250.21,253.46,250.69,250.21,1422335.0,250.69
803,2012-01-03,27.65,29.5,28.08,28.94,928100.0,28.08
802,2013-02-28,34.37,36.1,34.83,35.89,1964900.0,34.83
801,2011-10-31,28.75,29.51,29.37,29.5,1134000.0,29.37
800,2012-10-19,27.3,28.2,27.74,27.83,1027400.0,27.74
799,2011-07-21,28.1,29.16,28.7,28.91,1011500.0,28.7
798,2012-06-25,32.75,34.12,33.11,33.94,1498500.0,33.11
797,2016-05-03,231.62,238.91,232.32,237.36,4302222.0,232.32
796,2011-08-31,24.28,25.5,24.74,24.8,823800.0,24.74
795,2013-07-18,116.18,122.73,119.03,120.97,11398100.0,119.03
794,2013-04-19,47.07,49.88,47.83,47.46,3011700.0,47.83
793,2013-09-16,165.85,170.85,166.58,168.0,7574900.0,166.58
792,2011-08-18,23.47,25.15,24.26,25.0,1056600.0,24.26
791,2015-08-12,232.74,239.77,238.17,235.0,3739157.0,238.17
790,2017-05-09,309.1,321.99,321.26,309.38,9596356.0,321.26
789,2017-05-30,325.76,336.28,335.1,326.0,7663064.0,335.1
788,2012-08-27,28.17,29.7,28.32,29.57,1350400.0,28.32
787,2012-02-21,33.81,34.87,34.5,34.87,1135800.0,34.5
786,2013-07-23,121.82,125.56,122.74,124.0,7736400.0,122.74
785,2012-06-19,31.5,32.6594,32.09,32.02,911100.0,32.09
784,2011-11-17,33.19,34.9,33.68,34.5,1349300.0,33.68
783,2012-08-01,26.03,27.99,26.25,27.99,1592300.0,26.25
782,2016-04-21,246.91,250.9,248.29,248.99,2783059.0,248.29
781,2018-01-03,315.55,325.25,317.25,321.0,4185665.0,317.25
780,2011-06-21,26.0,27.73,27.53,26.24,1496000.0,27.53
779,2014-02-14,197.0,201.88,198.23,198.1,6158000.0,198.23
778,2014-12-19,214.5,220.4,219.29,220.19,6910461.0,219.29
777,2017-07-24,330.01,343.4,342.52,330.24,8552012.0,342.52
776,2016-02-12,143.7,157.01,151.04,155.0,7235783.0,151.04
775,2011-06-16,25.74,28.0,26.5,27.67,1842200.0,26.5
774,2011-03-23,21.77,22.27,22.21,22.11,422800.0,22.21
773,2017-03-22,250.51,255.07,255.01,251.56,4059297.0,255.01
772,2013-06-19,102.01,106.67,104.68,102.06,8578900.0,104.68
771,2016-07-08,214.5,219.81,216.78,217.8,4074785.0,216.78
770,2017-01-24,249.65,254.8,254.61,250.0,4965451.0,254.61
769,2015-10-13,211.13,222.522,219.25,213.28,5171535.0,219.25
768,2013-11-08,132.32,140.6,137.95,136.48,22477900.0,137.95
767,2018-02-26,352.355,359.0,357.42,353.5,4312871.0,357.42
766,2013-02-26,33.8,34.96,34.43,34.46,2762900.0,34.43
765,2015-07-01,267.8503,272.62,269.15,271.11,2101224.0,269.15
764,2011-01-13,26.16,26.97,26.22,26.96,723600.0,26.22
763,2014-05-30,207.02,214.8,207.77,210.3,5581100.0,207.77
762,2011-02-10,22.81,23.64,23.215,23.26,836100.0,23.215
761,2013-06-05,89.11,97.9699,95.37,93.66,12224800.0,95.37
760,2011-03-04,23.78,24.99,24.95,24.48,1580100.0,24.95
759,2015-11-18,212.52,221.38,221.07,214.5,2811900.0,221.07
758,2013-12-11,139.49,143.05,139.65,141.88,7137800.0,139.65
757,2014-06-19,227.0,235.31,227.79,228.88,8793100.0,227.79
